Paradise Dynasty,11:00:00,22:00:00," 3 Gateway Dr, #02-13 Westgate, Singapore 608532",6465 9271,"Chinese,Dim Sum,Jurong East",0,1,"1.3,103.8",4.2
Soi 19 Thai Wanton Mee Jurong East,7:00:00,16:00:00,"130 Jurong Gateway Rd, #01-211, Singapore 600130",8692 2360,"Thai,Asian,Jurong East",0,0,"1.33489,103.739302",4.5
Brotzeit Westgate,12:00:00,0:00:00,"3 Gateway Dr, #01-04, Singapore 608532",6465 9874,"German,Western,Jurong East",0,0,"1.3,103.8",4.1
Enaq,7:00:00,23:00:00,"303 Jurong East Street 32, Singapore 600303",6899 0842,"Prata,Indian,Jurong East",1,1,"1.344662,103.735594",4.1
Koufu @ Pioneer Mall ,5:30:00,23:00:00,"638A Jurong West Street 61, Singapore 641638",6752 4334,"Hawker,Western,Thai,Pioneer",1,0,"1.340358,103.69689",3.9
McDonald's NTU,7:00:00,0:00:00,"Block N2.1,#01, 76 Nanyang Dr, 08 Nanyang Technological University, 637331",6786 5273,"Fast food,Pioneer,NTU",0,1,"1.347112,103.680329",3.9
Subway,8:00:00,20:00:00,"The North Spine, N2. 1, #1-7 Nanyang Tech University, 76 Nanyang Dr, 637331",6825 3417,"Fast Food,Salad,Sandwich,Pioneer,NTU",0,1,"1.347055,103.680228",3.5
Pen & Inc,13:00:00,21:00:00," 76 Nanyang Drive, Blk N2.1 #01-01, 637331",6523 8261,"Western,Cafe,Pioneer,NTU",0,0,"1.347246,103.680201",3.6
North Indian Cuisine,7:00:00,21:00:00,"24 Nanyang Ave, Singapore 639809",6791 7393,"Indian,Prata,Pioneer,NTU",0,0,"1.352053,103.684865",4.6
Al Ayza Restaurant,0:00:00,0:00:00,"508 Jurong West Street 52, Singapore 640508",6756 4963,"Hawker,Indian,Malay,Jurong West",1,0,"1.348733,103.718728",4.1
Toby's The Dessert Asylum,11:00:00,0:00:00,"8 Boon Lay Way, #01-35, Tradehub21, 609964",6316 2422,"American,Western,Dessert,Cafe,Boon Lay",1,0,"1.328147,103.752284",4.3
singyi seafood garden,13:00:00,0:00:00,"3 Soon Lee St Singapore 627606 Soon Lee St, Singapore 627606",6162 8263,"Seafood,Chinese,Pioneer,NTU",0,0,"1.334099,103.697232",4
Paik's Bibim @ NTU,10:00:00,21:00:00,"Blk NS3-01-15, North Spine, 50 Nanyang Drive, Singapore 639798",6262 0567,"Korean,Healthy,Asian,Pioneer,NTU",0,1,"1.347145,103.680598",4.1
The Sandwich Guys - NTU,8:30:00,17:30:00,"76 Nanyang Dr, Singapore 637331",9099 1412,"Fast Food,Sandwich,Pioneer,NTU",0,1,"1.347115, 103.680844",4.2
The Soup Spoon Union,9:00:00,21:00:00,"50 Nanyang Ave, Block N3.1, Singapore 639798",6268 7556,"Asian,Healthy,Vegetarian,Pioneer,NTU",1,1,"1.347268,103.680649",4.2
Sukho Thai Cafe Nanyang Technological University,8:00:00,22:00:00,"31 Nanyang Link, Wee Kim Wee School of Communication and Information, Singapore 637718",9667 0181,"Thai,Asian,Pioneer,NTU",0,0,"1.343548, 103.680351",3.8
Wu Tou steamboat,10:00:00,21:00:00,"76 Nanyang Dr North Spine Plaza #NS3-1-24, Singapore 637331",8821 3302,"Asian,Chinese,Mala,Pioneer,NTU",0,0,"1.347173,103.680667",3.7
Mr Bean,7:00:00,20:30:00,"North Spine Plaza, NTU, NS3-01-16, 50 Nanyang Ave, Singapore 639798",6844 2298,"Healthy,Takeaway,Pioneer,NTU",1,0,"1.347184,103.680559",4.5
Carl's Jr.,10:00:00,22:00:00,"1 Jurong West Central 2, #02-42, Jurong Point Shopping Centre, Singapore 648886",6686 3167,"Fast Food,Jurong West",0,1,"1.341789, 103.706401",4.1
Bakery Cuisine,7:00:00,21:00:00,"North Spine, Blk NS3-01-19, 50 Nanyang Avenue, Singapore 639798",6686 5728,"Fast Food,Sandwich,Pioneer,NTU",1,1,"1.347256, 103.680862",3.5
Grande cibo,10:00:00,20:00:00,"50 Nanyang Avenue NS3-01-23 NTU North Spine Plaza​, Singapore 637331",6262 2608,"Western,Pizza,Pioneer,NTU",1,1,"1.347082,103.680247",4.9
Each A Cup,9:00:00,21:00:00,"50 Nanyang Ave, NS3-01-21 NTU North Spine, Singapore 639798",9182 9307,"Drink,Desert,Pioneer,NTU",1,1,"1.347343, 103.680830",3.4
